locationTime,accumulated_usage
2024-10-06 18:26:00,222418.5
2024-10-06 18:27:00,222418.5
2024-10-06 18:28:00,222419.5
2024-10-06 18:29:00,222420.0
2024-10-06 18:30:00,222420.0
2024-10-06 18:31:00,222420.5
2024-10-06 18:32:00,222420.5
2024-10-06 18:33:00,222421.0
2024-10-06 18:34:00,222421.0
2024-10-06 18:35:00,222421.5
2024-10-06 18:36:00,222422.0
2024-10-06 18:37:00,222422.0
2024-10-06 18:38:00,222422.5
2024-10-06 18:39:00,222423.0
2024-10-06 18:40:00,222424.0
2024-10-06 18:41:00,222424.5
2024-10-06 18:42:00,222425.5
2024-10-06 18:43:00,222426.0
2024-10-06 18:44:00,222426.0
2024-10-06 18:45:00,222427.0
2024-10-06 18:46:00,222428.0
2024-10-06 18:47:00,222429.0
2024-10-06 18:48:00,222429.5
2024-10-06 18:49:00,222430.5
2024-10-06 18:50:00,222431.0
2024-10-06 18:51:00,222432.0
2024-10-06 18:52:00,222432.5
2024-10-06 18:53:00,222432.5
2024-10-06 18:54:00,222433.0
2024-10-06 18:55:00,222434.0
2024-10-06 18:56:00,222434.0
2024-10-06 18:57:00,222434.0
2024-10-06 18:58:00,222434.5
2024-10-06 18:59:00,222435.0
2024-10-06 19:00:00,222435.5
2024-10-06 19:01:00,222435.5
2024-10-06 19:02:00,222436.0
2024-10-06 19:03:00,222437.0
2024-10-06 19:04:00,222437.5
2024-10-06 19:05:00,222437.5
2024-10-06 19:06:00,222438.0
2024-10-06 19:07:00,222439.5
2024-10-06 19:08:00,222440.5
2024-10-06 19:09:00,222442.0
2024-10-06 19:10:00,222442.5
2024-10-06 19:11:00,222442.5
2024-10-06 19:12:00,222443.0
2024-10-06 19:13:00,222443.0
2024-10-06 19:14:00,222443.0
2024-10-06 19:15:00,222443.0
2024-10-06 19:16:00,222443.0
2024-10-06 19:17:00,222443.0
2024-10-06 19:18:00,222443.0
2024-10-06 19:22:00,222443.5
2024-10-06 19:23:00,222443.5
2024-10-06 20:08:00,222443.5
2024-10-06 20:09:00,222443.5
2024-10-06 20:10:00,222444.0
2024-10-06 20:11:00,222444.0
2024-10-06 20:12:00,222444.0
2024-10-06 20:13:00,222444.5
2024-10-06 20:14:00,222445.0
2024-10-06 20:15:00,222445.0
2024-10-06 20:16:00,222445.5
2024-10-06 20:17:00,222446.5
2024-10-06 20:18:00,222447.5
2024-10-06 20:19:00,222448.0
2024-10-06 20:20:00,222448.5
2024-10-06 20:21:00,222449.0
2024-10-06 20:22:00,222450.0
2024-10-06 20:23:00,222450.5
2024-10-06 20:24:00,222451.5
2024-10-06 20:25:00,222452.5
2024-10-06 20:26:00,222453.5
2024-10-06 20:27:00,222454.0
2024-10-06 20:28:00,222455.0
2024-10-06 20:29:00,222455.5
2024-10-06 20:30:00,222456.0
2024-10-06 20:32:00,222457.5
2024-10-06 20:33:00,222458.0
2024-10-06 20:34:00,222458.0
2024-10-06 20:35:00,222458.5
2024-10-06 20:36:00,222459.0
2024-10-06 20:37:00,222459.0
2024-10-06 20:38:00,222459.0
2024-10-06 20:39:00,222459.5
2024-10-06 20:40:00,222459.5
2024-10-06 20:41:00,222460.0
2024-10-06 20:42:00,222460.0
2024-10-06 20:43:00,222460.0
2024-10-06 20:44:00,222460.0
2024-10-06 20:45:00,222460.5
2024-10-06 20:46:00,222460.5
2024-10-06 20:47:00,222460.5
2024-10-06 20:48:00,222460.5
2024-10-06 20:50:00,222460.5
2024-10-06 20:51:00,222461.0
2024-10-06 20:52:00,222461.0
2024-10-06 20:53:00,222461.0
2024-10-06 20:54:00,222461.0
2024-10-06 20:55:00,222461.5
2024-10-06 20:56:00,222461.5
2024-10-06 20:57:00,222461.5
2024-10-06 20:58:00,222462.0
2024-10-06 20:59:00,222462.0
2024-10-06 21:00:00,222462.0
2024-10-06 21:09:00,222462.0
2024-10-06 21:10:00,222462.5
2024-10-06 21:11:00,222462.5
2024-10-06 21:12:00,222462.5
2024-10-06 21:13:00,222462.5
2024-10-06 21:16:00,222462.5
2024-10-06 21:17:00,222463.0
2024-10-06 21:31:00,222463.0
2024-10-06 21:38:00,222463.0
2024-10-06 21:39:00,222463.0
2024-10-06 22:15:00,222463.5
2024-10-06 22:16:00,222464.0
2024-10-06 22:17:00,222464.0
2024-10-06 22:18:00,222465.5
2024-10-06 22:19:00,222466.0
2024-10-06 22:20:00,222466.5
2024-10-06 22:21:00,222467.5
2024-10-06 22:22:00,222469.0
2024-10-06 22:23:00,222470.5
2024-10-06 22:24:00,222471.5
2024-10-06 22:25:00,222472.5
2024-10-06 22:26:00,222474.0
2024-10-06 22:27:00,222474.5
2024-10-06 22:28:00,222475.0
2024-10-06 22:29:00,222475.0
2024-10-06 22:30:00,222475.5
2024-10-06 22:31:00,222476.0
2024-10-06 22:32:00,222476.0
2024-10-06 22:33:00,222476.5
2024-10-06 22:34:00,222477.0
2024-10-06 22:35:00,222477.5
2024-10-06 22:36:00,222478.0
2024-10-06 22:37:00,222478.5
2024-10-06 22:38:00,222478.5
2024-10-06 22:39:00,222479.0
2024-10-06 22:40:00,222480.0
2024-10-06 22:41:00,222481.0
